name,nawy_id,nawy_slug,nawy_url,description,lat,images_urls,amenities_list,scraped_at
جيريان - ناشنز او سكاى,1771,1771-جيريان-ناشنز-او-سكاى,https://www.nawy.com/ar/compound/1771-%D8%AC%D9%8A%D8%B1%D9%8A%D8%A7%D9%86-%D9%86%D8%A7%D8%B4%D9%86%D8%B2-%D8%A7%D9%88-%D8%B3%D9%83%D8%A7%D9%89,"<p class=""ql-direction-rtl""><span style=""background-color: transparent; color: rgb(0, 0, 0);"">كمبوند جريان نيشنز اوف سكاي يضمن لك السكن أمام النيل مباشرة، جريان لا يُشبه المجمعات السكنية التقليدية ولكنه مدينة متكاملة تتمتع بكافة المقومات العالمية التي توفر لك منازل عديدة تطل على نهر النيل في الشيخ زايد، هذه الفكرة الرائعة ظهرت للنور بالتعاون الكبير الذي حدث بين شركة نيشن أوف سكاي، وكبرى الشركات العقارية وهي بالم هيلز، وماونتن فيو، هذا التعاون غير المسبوق عمل على تشييد مشروعًا فاخرًا لا مثيل له من قبل، فإذا كنت تحلم بامتلاك وحدة سكنية أمام النيل، فانتهز ذلك الفرصة وبادر بحجز وحدتك في كمبوند Jirian Nations of Sky.&nbsp;</span></p><p class=""ql-direction-rtl""><br></p><p class=""ql-direction-rtl""><br></p><p class=""ql-direction-rtl""><br></p><p class=""ql-direction-rtl""><br></p><h3 class=""ql-direction-rtl""><strong style=""background-color: transparent; color: rgb(0, 0, 0);"">موقع كمبوند جريان نيشنز اوف سكاي&nbsp;</strong></h3><p><br></p><p class=""ql-direction-rtl""><span style=""background-color: transparent; color: rgb(0, 0, 0);"">يقع كمبوند جريان في غرب القاهرة، على محور </span><a href=""https://www.nawy.com/ar/area/%D8%A7%D9%84%D8%B4%D9%8A%D8%AE-%D8%B2%D8%A7%D9%8A%D8%AF"" rel=""noopener noreferrer"" target=""_blank"" style=""background-color: transparent; color: rgb(17, 85, 204);"">الشيخ زايد</a><span style=""background-color: transparent; color: rgb(0, 0, 0);"">، هذا الموقع الاستثنائي تم اختياره بعناية فائقة بحيث يكون قريبًا من الطرق الرئيسية، والخدمات الأساسية، والمعالم الحيوية المميزة، ومن أبرز المعالم القريبة من الكمبوند ما يلي:&nbsp;</span></p><p><br></p><p><br></p><p><br></p><p><br></p><ul><li class=""ql-align-right ql-direction-rtl""><span style=""background-color: transparent;"">مول مصر.</span></li><li class=""ql-align-right ql-direction-rtl""><span style=""background-color: transparent;"">جامعة النيل.</span></li><li class=""ql-align-right ql-direction-rtl""><span style=""background-color: transparent;"">مطار سفنكس الدولي.</span></li><li class=""ql-align-right ql-direction-rtl""><span style=""",30.059923,"https://prod-images.nawy.com/processed/inventory/compounds/1771/gallery/Screenshot%202025-11-30%20141436/high.webp, https://prod-images.nawy.com/processed/inventory/compounds/1771/gallery/Screenshot%202025-11-30%20141713/high.webp, https://prod-images.nawy.com/processed/inventory/compounds/1771/gallery/Screenshot%202025-11-30%20141619/high.webp, https://prod-images.nawy.com/processed/inventory/compounds/1771/gallery/Screenshot%202025-11-30%20143244/high.webp, https://prod-images.nawy.com/processed/inventory/compounds/1771/gallery/Screenshot%202025-11-30%20141543/high.webp, https://prod-images.nawy.com/processed/inventory/compounds/1771/gallery/Screenshot%202025-11-30%20141641/high.webp, https://prod-images.nawy.com/processed/inventory/compounds/1771/gallery/Screenshot%202025-11-30%20142116/high.webp, https://prod-images.nawy.com/processed/inventory/compounds/1771/gallery/Screenshot%202025-11-30%20143319/high.webp, https://prod-images.nawy.com/processed/inventory/compounds/1771/gallery/Screenshot%202025-11-30%20142020/high.webp, https://prod-images.nawy.com/processed/inventory/compounds/1771/gallery/Screenshot%202025-11-30%20143115/high.webp, https://prod-images.nawy.com/processed/inventory/compounds/1771/gallery/Screenshot%202025-11-30%20141514/high.webp, https://prod-images.nawy.com/processed/inventory/compounds/1771/gallery/Screenshot%202025-11-30%20142047/high.webp, https://prod-images.nawy.com/processed/inventory/compounds/1771/gallery/Screenshot%202025-11-30%20143149/high.webp, https://prod-images.nawy.com/processed/inventory/compounds/1771/gallery/Screenshot%202025-11-30%20143023/high.webp, https://prod-images.nawy.com/processed/inventory/compounds/1771/gallery/Screenshot%202025-11-30%20142949/high.webp, https://prod-images.nawy.com/processed/inventory/compounds/1771/gallery/Screenshot%202025-11-30%20143210/high.webp, https://prod-images.nawy.com/processed/inventory/compounds/1771/gallery/Screenshot%202025-11-30%20141931/high.webp, https://prod-images.nawy.com/processed/inventory/compounds/1771/gallery/Screenshot%202025-11-30%20143051/high.webp, https://prod-images.nawy.com/processed/inventory/compounds/1771/gallery/Screenshot%202025-11-30%20142155/high.webp",منطقة تجارية,2026-01-28T15:47:39.021865
تييرا,1834,1834-تيرا,https://www.nawy.com/ar/compound/1834-%D8%AA%D9%8A%D8%B1%D8%A7,"<p><br></p><p class=""ql-align-right ql-direction-rtl""><span style=""background-color: transparent; color: rgb(0, 0, 0);"">يُعد </span><strong style=""background-color: transparent; color: rgb(0, 0, 0);"">كمبوند تييرا التجمع السادس</strong><span style=""background-color: transparent; color: rgb(0, 0, 0);""> من أحدث المشاريع السكنية الراقية التي تُعيد تعريف مفهوم الحياة الهادئة المتكاملة في موقع مثالي في القاهرة الجديدة في أحدث مناطقها السكنية، يجمع المشروع بين الفخامة والخصوصية في بيئة عصرية مُصممة لتلبية احتياجات الأفراد والعائلات الباحثة عن الرفاهية والهدوء في آنٍ واحد، صُمم كمبوند Tierra ليكون مجتمعًا سكنيًا متكامل الخدمات، حيث يضم مساحات خضراء شاسعة، ومرافق ترفيهية وأساسية متنوعة تضمن أسلوب حياة متوازن يجمع بين الراحة والجمال، خاصة مع طرح عدد من الوحدات السكنية متنوعة المساحات والأنواع بما يتناسب مع جميع الأذواق.</span></p><p><br></p><p><br></p><p><br></p><p><br></p><p><br></p><p><br></p><p><br></p><h3 class=""ql-align-right ql-direction-rtl""><strong style=""background-color: transparent; color: rgb(0, 0, 0);"">موقع كمبوند تييرا</strong></h3><p><br></p><p class=""ql-align-right ql-direction-rtl""><span style=""background-color: transparent; color: rgb(0, 0, 0);"">يتميز كمبوند تييرا بموقع إستراتيجي في منطقة</span><a href=""https://www.nawy.com/ar/area/%D8%A7%D9%84%D8%AA%D8%AC%D9%85%D8%B9-%D8%A7%D9%84%D8%B3%D8%A7%D8%AF%D8%B3"" rel=""noopener noreferrer"" target=""_blank"" style=""background-color: transparent; color: rgb(17, 85, 204);""> التجمع السادس</a><span style=""background-color: transparent; color: rgb(0, 0, 0);""> في القاهرة الجديدة، بالقرب من أهم الطرق والمحاور الرئيسية، مما يجعل الوصول إلى أشهر المدن والمناطق سهلًا ومباشرًا، غير أنه يحيط به عدد من الكمبوندات الفاخرة والمدارس الدولية والمراكز التجارية، مما يمنح السكان حياة متكاملة داخل منطقة نابضة بالحيوية، وفي الوقت نفسه بعيدة عن صخب المدينة، ومن أبرز هذه المناطق والطرق والمدن:</span></p><p class=""ql-align-right ql-direction-rtl""><br></p><p class=""ql-align-right ql-direction-rtl""><br></p><p class=""ql-align-right ql-direction-rt",29.969777,"https://prod-images.nawy.com/processed/inventory/compounds/1834/gallery/Screenshot%202025-11-17%20140122/high.webp, https://prod-images.nawy.com/processed/inventory/compounds/1834/gallery/Screenshot%202025-11-17%20135649/high.webp, https://prod-images.nawy.com/processed/inventory/compounds/1834/gallery/Screenshot%202025-11-17%20140226/high.webp, https://prod-images.nawy.com/processed/inventory/compounds/1834/gallery/Screenshot%202025-11-17%20140146/high.webp, https://prod-images.nawy.com/processed/inventory/compounds/1834/gallery/Screenshot%202025-11-17%20140100/high.webp, https://prod-images.nawy.com/processed/inventory/compounds/1834/gallery/Screenshot%202025-11-17%20140206/high.webp, https://prod-images.nawy.com/processed/inventory/compounds/1834/gallery/Screenshot%202025-11-17%20140244/high.webp, https://prod-images.nawy.com/processed/inventory/compounds/1834/gallery/Screenshot%202025-11-17%20140733/high.webp, https://prod-images.nawy.com/processed/inventory/compounds/1834/gallery/Screenshot%202025-11-17%20140703/high.webp, https://prod-images.nawy.com/processed/inventory/compounds/1834/gallery/Screenshot2025-11-17140324/high.webp","منطقة تجارية, نادي اجتماعي, جيم مشترك, المساجد, مسارات الركض, أندية رياضية",2026-01-28T15:47:57.035555
